Date,AccCases,DailyCases,AccDeaths,DailyDeaths,ICU,DailyRecov,dailyTests
11.03.20,1,1,0,0,0,0,0
12.03.20,1,0,0,0,0,0,0
13.03.20,5,4,0,0,0,0,0
14.03.20,5,0,0,0,0,0,0
15.03.20,18,13,0,0,0,0,0
16.03.20,47,29,0,0,0,0,0
17.03.20,98,51,1,1,0,0,0
18.03.20,191,93,2,1,0,0,8200
19.03.20,359,168,4,2,0,0,1981
20.03.20,670,311,9,5,0,0,3656
21.03.20,947,277,21,12,0,0,2953
22.03.20,1236,289,30,9,0,0,3555
23.03.20,1529,293,37,7,0,0,3672
24.03.20,1872,343,44,7,0,0,3952
25.03.20,2433,561,59,15,0,0,5035
26.03.20,3629,1196,75,16,0,0,7286
27.03.20,5698,2069,92,17,344,42,7533
28.03.20,7402,1704,108,16,445,28,7641
29.03.20,9217,1815,131,23,568,35,9982
30.03.20,10827,1610,168,37,725,57,11535
31.03.20,13531,2704,214,46,847,81,15422
01.04.20,15679,2148,277,63,979,90,14396
02.04.20,18135,2456,356,79,1101,82,18757
03.04.20,20921,2786,425,69,1251,69,16160
04.04.20,23934,3013,501,76,1311,302,19664
05.04.20,27069,3135,574,73,1381,256,20065
06.04.20,30217,3148,649,75,1415,284,21400
07.04.20,34109,3892,725,76,1474,256,20023
08.04.20,38226,4117,812,87,1492,264,24900
09.04.20,42282,4056,908,96,1552,296,28570
10.04.20,47029,4747,1006,98,1667,281,30872
11.04.20,52167,5138,1101,95,1626,542,33170
12.04.20,56956,4789,1198,97,1665,481,35720
13.04.20,61049,4093,1296,98,1786,511,34456
14.04.20,65111,4062,1403,107,1809,842,33070
15.04.20,69392,4281,1518,115,1820,875,34090
16.04.20,74193,4801,1643,125,1854,1415,40427
17.04.20,78546,4353,1769,126,1845,1542,40270
18.04.20,82329,3783,1890,121,1894,1822,40520
19.04.20,86306,3977,2017,127,1922,1523,35344
20.04.20,90980,4674,2140,123,1909,1454,39703
21.04.20,95591,4611,2259,119,1865,1488,39429
22.04.20,98674,3083,2376,117,1814,1559,37535
23.04.20,101790,3116,2491,115,1816,2014,40962
24.04.20,104912,3122,2600,109,1790,3246,38351
25.04.20,107773,2861,2706,106,1782,3845,38308
26.04.20,110130,2357,2805,99,1776,3558,30177
27.04.20,112261,2131,2900,95,1736,4651,20143
28.04.20,114653,2392,2992,92,1621,5018,29230
29.04.20,117589,2936,3081,89,1574,5231,43498
30.04.20,120204,2615,3174,93,1514,4846,42004
01.05.20,122392,2188,3258,84,1480,4922,41431
02.05.20,124375,1983,3336,78,1445,4451,36318
03.05.20,126045,1670,3397,61,1424,4892,24001
04.05.20,127659,1614,3461,64,1384,5015,35771
05.05.20,129491,1832,3520,59,1338,5119,33283
06.05.20,131744,2253,3584,64,1278,4917,30303
07.05.20,133721,1977,3641,57,1260,4782,30395
08.05.20,135569,1848,3689,48,1219,3412,33687
09.05.20,137115,1546,3739,50,1168,3084,35605
10.05.20,138657,1542,3786,47,1154,3211,36187
11.05.20,139771,1114,3841,55,1126,3089,32722
12.05.20,141475,1704,3894,53,1045,3109,37351
13.05.20,143114,1639,3952,58,998,2826,33332
14.05.20,144749,1635,4007,55,963,2315,34821
15.05.20,146457,1708,4055,48,944,2103,38565
16.05.20,148067,1610,4096,41,906,2004,42236
17.05.20,149435,1368,4140,44,914,1825,35369
18.05.20,150593,1158,4171,31,903,1615,25141
19.05.20,151615,1022,4199,28,882,1318,25382
20.05.20,152587,972,4222,23,877,1092,20838
21.05.20,153548,961,4249,27,820,1003,33633
22.05.20,154500,952,4276,27,800,1121,37507
23.05.20,155686,1186,4308,32,775,1491,40178
24.05.20,156827,1092,4340,32,769,1092,24589
25.05.20,157814,987,4369,29,756,1321,21492
26.05.20,158762,948,4397,28,739,1492,19853
27.05.20,159797,1035,4431,34,723,1286,21043
28.05.20,160979,1182,4461,30,683,1576,33559
29.05.20,162120,1141,4489,28,662,1594,36155
30.05.20,163103,983,4515,26,649,1021,39230
31.05.20,163942,839,4540,25,648,989,35600
01.06.20,164769,827,4563,23,651,974,31525
02.06.20,165555,786,4585,22,633,974,32325
03.06.20,166422,867,4609,24,612,931,52305
04.06.20,167410,988,4630,21,602,926,54234
05.06.20,168340,930,4648,18,591,1622,36846
06.06.20,169218,878,4669,21,591,1922,35846
07.06.20,170132,914,4692,23,613,2647,35335
08.06.20,171121,989,4711,19,625,3411,39361
09.06.20,172114,993,4729,18,642,3218,37225
10.06.20,173036,922,4746,17,631,2241,36521
11.06.20,174023,987,4763,17,643,1021,49190
12.06.20,175218,1195,4778,15,664,1241,41013
13.06.20,176677,1459,4792,14,684,1330,45092
14.06.20,178239,1562,4807,15,717,1330,45176
15.06.20,179831,1592,4825,18,722,947,42032
16.06.20,181298,1467,4842,17,732,1015,46800
17.06.20,182727,1429,4861,19,745,1261,52901
18.06.20,184031,1304,4882,21,755,1382,48412
19.06.20,185245,1214,4905,23,769,1494,41316
20.06.20,186493,1248,4927,22,781,1312,41112
21.06.20,187685,1192,4950,23,803,1412,40496
22.06.20,188897,1212,4974,24,846,1293,41413
23.06.20,190165,1268,5001,27,893,1315,42982
24.06.20,191657,1492,5025,24,914,1368,53486